Place,Movie_Name,Year_Of_Release,Movie_Duration_Minutes,Content_Rating,Rating,Number_of_Ratings
203,The Third Man,1949,1h 44m,Approved,8.1,182K
204,Le salaire de la peur,1953,2h 11m,Not Rated,8.2,67K
205,Smultronstället,1957,1h 31m,Not Rated,8.1,115K
206,Mary and Max.,2009,1h 32m,Not Rated,8.1,187K
207,Mr. Smith Goes to Washington,1939,2h 9m,Approved,8.1,122K
208,Ratatouille,2007,1h 51m,G,8.1,827K
209,Ford v Ferrari,2019,2h 32m,18 +,8.1,477K
210,Tôkyô monogatari,1953,2h 16m,Not Rated,8.1,69K
211,The Big Lebowski,1998,1h 57m,13+,8.1,861K
212,Room,2015,1h 58m,R,8.1,451K
213,Det sjunde inseglet,1957,1h 36m,Not Rated,8.1,199K
214,Rocky,1976,2h,PG,8.1,629K
215,Logan,2017,2h 17m,15+,8.1,833K
216,Spotlight,2015,2h 9m,Not Rated,8.1,503K
217,Hotel Rwanda,2004,2h 1m,PG-13,8.1,373K
218,The Terminator,1984,1h 47m,R,8.1,926K
219,Platoon,1986,2h,R,8.1,440K
220,La passion de Jeanne d'Arc,1928,1h 50m,Passed,8.1,61K
221,La haine,1995,1h 38m,Not Rated,8.1,197K
222,Antes del atardecer,2004,1h 20m,Not Rated,8.1,289K
223,The Best Years of Our Lives,1946,2h 50m,Approved,8.1,71K
224,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1,1.2M
225,The Exorcist,1973,2h 2m,R,8.1,456K
226,Rush,2013,2h 3m,R,8.1,515K
227,Network,1976,2h 1m,R,8.1,171K
228,Jai Bhim,2021,2h 44m,16+,8.7,217K
229,Stand by Me,1986,1h 29m,R,8.1,442K
230,The Wizard of Oz,1939,1h 42m,G,8.1,429K
231,The Incredibles,2004,1h 55m,PG,8.0,810K
232,Hachi: A Dog's Tale,2009,1h 33m,Not Rated,8.1,312K
233,Ah-ga-ssi,2016,2h 25m,Not Rated,8.1,173K
234,Into the Wild,2007,2h 28m,R,8.1,659K
235,Babam ve Oglum,2005,1h 52m,Not Rated,8.2,93K
236,The Sound of Music,1965,2h 52m,G,8.1,262K
237,La battaglia di Algeri,1966,2h 1m,Not Rated,8.1,66K
238,To Be or Not to Be,1942,1h 39m,Approved,8.1,43K
239,The Grapes of Wrath,1940,2h 9m,Approved,8.1,100K
240,Groundhog Day,1993,1h 41m,R,8.0,686K
241,Amores Perros,2000,2h 34m,R,8.1,253K
242,Rebecca,1940,2h 10m,Approved,8.1,147K
243,The Iron Giant,1999,1h 26m,PG,8.1,228K
244,Cool Hand Luke,1967,2h 7m,Approved,8.1,189K
245,The Help,2011,2h 26m,PG-13,8.1,494K
246,It Happened One Night,1934,1h 45m,Approved,8.1,112K
247,Aladdin,1992,1h 30m,G,8.0,468K
248,Drishyam,2015,2h 43m,13+,8.2,95K
249,Dances with Wolves,1990,3h 1m,Not Rated,8.0,291K
250,Gangs of Wasseypur,2012,5h 21m,Not Rated,8.2,104K
